id,drop_weight,sell_weight,req_mod_ids,req_flags,upgrade_to,known_by,discovery_text
IndEvo_SupCom,100,100,IndEvo,LOCK_INDEVO,,"mercenary, scavengers, tritachyon","The IRIL-2391 Trade Computer was a gargantuan invention, in its time. A megastructure in name and build, this Nvidia(Tm) SuperCalculator(Tm) was made for one purpose and one purpose only.

Stock trading.

Now, without much of a stock market to speak of, this gigacomputer can only be used for optimizing trade, bargaining, and maximizing trade throughput. Thankfully, you don't need to replace its thermal paste. Just feed it artificial intelligence to kill."
IndEvo_senate,100,100,IndEvo,LOCK_INDEVO,,"mercenary, scavengers, independent","Rather than a structure, this is a paradigm for a bespoke political structure to be deeply integrated into every world you control. Resembling an ancient civilization lost to time, a communion of peers, ultimately subservient to you, would allow for dynamic policy-making for each micro-problem a world could possibly have, allowing a level of micromanagement unobtainable by simple word-of-dictator. With this, likely a spec written by a similarly fallen civilization, you could institute edicts, taxes, policies... everything a dictator truely needs."
IndEvo_dryDock,100,100,IndEvo,LOCK_INDEVO,,"mercenary, scavengers, independent","While many ""Dry Docks"" existed in the core worlds, few ever took it to this extent. This disorganized spec seems to contain guidelines for restoration processes, alternative part sources, and tips and tricks for all the ships in the sector. DRM free, it's a wonder this kitbashed spec hasn't fallen into the hands of the entire sector by now. Or perhaps its viewed as simply... impractical?"
IndEvo_Academy,100,100,IndEvo,LOCK_INDEVO,,"mercenary, scavengers, hegemony","Domain military school has always been brutal, but the exact teaching methods have been lost to time. Until now.

While the Hegemony, the League, the Galatian Academy have their own teaching regiments, they are exceedingly difficult to replicate in any meaningful way without a doctrine if your own. But here, in this chip, lies a recollection - a recollection of an ancient ciricullum used by none other than the Domain Fleet itself. Here, boys are made men, girls are made women, and anything between is given a cap and a pistol and drilled relentlessly on command, starfaring, and military might."
IndEvo_ReqCenter,100,100,IndEvo,LOCK_INDEVO,,"mercenary, scavengers, independent","Endless warehouses, ports, docks, embassies, ambassadors - a centralized hub for you and your allies to share weaponry and ideas."
IndEvo_EngHub,100,100,IndEvo,LOCK_INDEVO,,"mercenary, scavengers, independent, tritachyon","A decidely Post-Collapse invention, this rarity has only been seen a few times in the entire history of the sector, and only by the strongest of the soon-to-die empires. Without DRM, without the Domain looking over them, and without INTSEC's ridiculous counterintelligence, factions after the Collapse were able to freely conduct espionage on their enemies. This is one such attempt.

In this spec is a list of protocols, ideas, and dockyards for one purpose and one purpose only - intelligence theft. Stocked with the best engineers credits can buy, this spec promises to allow you to unlock the secrets of vessels you could not otherwise produce - provided you find a few test subjects, of course."
IndEvo_PrivatePort,100,100,IndEvo,LOCK_INDEVO,,"mercenary, scavengers, independent",
IndEvo_PetStore,100,100,IndEvo,LOCK_INDEVO,,"mercenary, scavengers, independent","An authentic PACG pet store blueprint, likely lost in some terrible incident. With this, and a bit of elbow grease, you too could open a branch..."
IndEvo_Museum,100,100,IndEvo,LOCK_INDEVO,,"mercenary, scavengers, independent",
IndEvo_Warehouse,100,100,IndEvo,LOCK_INDEVO,,"mercenary, scavengers, independent","Few would ever take storage to this level, and much fewer neurotypical. It would appear at least one or another individual in the past became so obsessed with storage that they decided the best course of action...

Would be to create massive, city-level warehouses that can store anything and whatever you wish. It is certainly a better solution than one large hangar in the middle of nowhere. The question is... is it worth it?

You consider an definite ""maybe""."
IndEvo_pirateHaven,100,100,IndEvo,LOCK_INDEVO,,"mercenary, scavengers, pirate","Created once by the Pirate Lord Loth, this is the roughly-worded and badly-drawn spec of an entire planetary industry dedicated to criminality, raiding, and seedy warfare. Massive concourses with raid-screens, blaring war-info, troop movements, and other sensitive espionage to thousands of volunteer raiders, offering large cuts in exchange for their irregularity.

A substantial portion of this spec is also dedicated to crowd control. An entirely secondary system is written here - intense survellience, massive guard retinues, and titanic walls to keep the rest of the colony safe from these raving raiders. You estimate such an undertaking would be a logistical nightmare - but something you, and only you, could possibly pull off."
,,,,,,,
#Vanilla - off by default,,,,,,,
megaport,150,400,,LOCK_VANILLA,spaceport,standard,
orbitalstation,100,300,,LOCK_VANILLA,,standard,
battlestation,100,300,,LOCK_VANILLA,orbitalstation,standard,
starfortress,100,300,,LOCK_VANILLA,battlestation,standard,
orbitalstation_mid,100,300,,LOCK_VANILLA,,standard,
battlestation_mid,100,300,,LOCK_VANILLA,orbitalstation_mid,standard,
starfortress_mid,100,300,,LOCK_VANILLA,battlestation_mid,standard,
orbitalstation_high,100,300,,LOCK_VANILLA,,standard,
battlestation_high,100,300,,LOCK_VANILLA,orbitalstation_high,standard,
starfortress_high,100,300,,LOCK_VANILLA,battlestation_high,standard,
commerce,100,300,,LOCK_VANILLA,,standard,
waystation,100,300,,LOCK_VANILLA,,standard,
fuelprod,100,300,,LOCK_VANILLA,,"diktat, hegemony",
patrolhq,150,400,,LOCK_VANILLA,,standard,
militarybase,100,300,,LOCK_VANILLA,patrolhq,standard,
highcommand,100,300,,LOCK_VANILLA,militarybase,"hegemony, persean",
,,300,,,,,
techmining,100,300,,LOCK_VANILLA,,standard,
,,300,,,,,
lightindustry,100,300,,LOCK_VANILLA,,standard,
heavyindustry,150,300,,LOCK_VANILLA,,standard,
orbitalworks,100,300,,LOCK_VANILLA,heavyindustry,standard,
aquaculture,100,300,,LOCK_VANILLA,,"diktat, hegemony, persean",
,,300,,,,,
heavybatteries,150,300,,LOCK_VANILLA,grounddefenses,standard,
